Service_Point_Name,Standard_Point_Name,Service_Units,Standard_Units
nearestStormDistance,,,
nearestStormBearing,,,
precipIntensity,lwe_precipitation_rate,,
precipProbability,,,
temperature,surface_temperature,,
apparentTemperature,,,
dewPoint,dew_point_temperature,,
humidity,relative_humidity,,
pressure,air_pressure,,
windSpeed,wind_speed,,
windGust,wind_speed_of_gust,,
windBearing,wind_from_direction,,
cloudCover,,,
uvIndex,ultraviolet_index,,
visibility,visibility_in_air,,
ozone,atmosphere_mole_content_of_ozone,,
sunriseTime,,,
sunsetTime,,,
moonPhase,,,
precipIntensityMax,,,
temperatureHigh,,,
temperatureHighTime,,,
temperatureLow,,,
temperatureLowTime,,,
apparentTemperatureHigh,,,
apparentTemperatureHighTime,,,
apparentTemperatureLow,,,
apparentTemperatureLowTime,,,
windGustTime,,,
uvIndexTime,,,
temperatureMin,,,
temperatureMinTime,,,
temperatureMax,,,
temperatureMaxTime,,,
apparentTemperatureMin,,,
apparentTemperatureMinTime,,,
apparentTemperatureMax,,,
apparentTemperatureMaxTime,,,
precipAccumulation,lwe_thickness_of_precipitation_amount,,
